gene_name,tumor_samples_count,normal_samples_count,avg(tumor),avg(normal),avg(tumor)/avg(normal),avg(tumor)=0_count,avg(normal)=0_count
ARHGEF10L,497,52,9.40512052314,9.92256923077,0.9478513381367174,0,0
HIF3A,497,52,5.71528008048,7.71348076923,0.7409469539719687,0,0
RNF17,497,52,0.24772334004,0.402809615385,0.6149886461963112,375,33
RNF10,497,52,12.1830100604,11.9909480769,1.016017247527635,0,0
RNF11,497,52,11.1738050302,11.5051826923,0.9711975314961176,0,0
RNF13,497,52,10.6601042254,10.9416096154,0.9742720312707293,0,0
GTF2IP1,497,52,12.5067919517,12.420275,1.0069657839065769,0,0
REM1,497,52,4.68155130785,4.79118076923,0.9771184877665787,0,0
MTVR2,497,52,0.112116297787,0.0932384615385,1.2024683369584723,410,44
RTN4RL2,497,52,5.25219617706,3.808725,1.378990653581546,0,0
C16orf13,497,52,10.0279837022,9.14424615385,1.096644111881811,0,0
C16orf11,497,52,0.0937006036217,0.461907692308,0.20285568996177974,428,32
FGFR1OP2,497,52,8.36293138833,8.82073076923,0.948099608424993,0,0
TSKS,497,52,0.946974647887,1.50347115385,0.6298588738897913,113,5
ATRX,497,52,10.7056535211,11.0392634615,0.9697796921348945,0,0
PMM2,497,52,10.2165078471,9.47514615385,1.0782427712669538,0,0
LOC100272146,497,52,5.00201629779,4.23352884615,1.1815240853575486,0,0
ASS1,497,52,10.2584350101,11.2702365385,0.9102235765018564,0,0
NCBP1,497,52,9.58698993964,9.57093461538,1.001677508508668,0,0
ZNF709,497,52,6.84581488934,7.13492307692,0.9594798451966299,0,0
ZNF708,497,52,7.99499114688,7.75659230769,1.0307349967269208,0,0
RBM14,497,52,10.1844024145,9.97369807692,1.0211259991969646,0,0
NCBP2,497,52,10.7968597586,10.5439038462,1.0239907264034591,0,0
DISC1,497,52,7.13059476861,6.77565192308,1.0523850471606815,0,0
CAMK1,497,52,10.2561110664,9.74305192308,1.052658976609399,0,0
RPL37,497,52,14.0677730382,13.3988480769,1.0499240649245358,0,0
SPR,497,52,10.2826191147,9.93217692308,1.0352835228696913,0,0
ZNF700,497,52,7.98011509054,7.66967692308,1.0404760422870318,0,0
ZNF707,497,52,7.78925291751,7.29713846154,1.067439374839931,0,0
CAMK4,497,52,4.77403581489,5.79208653846,0.8242342000914559,1,0
ZNF704,497,52,8.45115935614,9.00522692308,0.9384726701866619,0,0
LOC339240,497,52,0.342689134809,0.240982692308,1.4220487435309244,316,33
GOLGA6B,497,52,0.777240040241,0.616263461538,1.2612138942995572,147,15
RNF115,497,52,8.63645593561,8.91764038462,0.968468738716264,0,0
RNF112,497,52,5.20205915493,6.63291730769,0.7842792113353596,0,0
ZC3H14,497,52,10.4817297787,10.5267269231,0.9957254382360534,0,0
SPN,497,52,6.33471348089,6.35216346154,0.9972529074922569,0,0
HMGCLL1,497,52,3.19168812877,5.19778269231,0.614048011952497,10,0
NACAP1,497,52,7.74491126761,7.63069615385,1.0149678497815577,0,0
LRRTM1,497,52,2.20616498994,3.44000769231,0.6413255978679674,54,0
GRIN1,497,52,6.91552414487,6.22862115385,1.1102817098771374,0,0
RBMY1A3P,497,52,0.0,0.0,n/a,497,52
DHX8,497,52,9.54041448692,9.77117884615,0.9763831608380444,0,0
DHX9,497,52,11.746367002,11.7900653846,0.9962936267800234,0,0
LOC441204,497,52,4.95976961771,4.07990961538,1.2156567388169157,0,0
TCOF1,497,52,10.1353629779,10.0071769231,1.0128094122623814,0,0
LRRTM3,497,52,1.28908309859,3.32836346154,0.38730238253357685,130,3
NUP98,497,52,11.2006245473,11.2577711538,0.9949238081160561,0,0
XPC,497,52,10.0654700201,10.4038019231,0.9674799745845085,0,0
SLC12A2,497,52,11.5631696177,10.9393,1.0570301223758594,0,0
GRINA,497,52,12.5629857143,12.1769038462,1.0317060784095633,0,0
LRRTM2,497,52,1.85396498994,2.12234615385,0.8735450560597051,22,2
NUP93,497,52,10.1078056338,9.73394807692,1.0384075971974898,0,0
HAP1,497,52,3.57996981891,4.37435576923,0.8183993273009477,1,0
KLRA1,497,52,4.2205277666,4.10036538462,1.0293052864105876,2,0
CAMKV,497,52,1.06595814889,0.296365384615,3.596770082567953,147,36
SPPL3,497,52,10.3208317907,10.2927423077,1.0027290572533978,0,0
GOLIM4,497,52,8.82290724346,9.2757,0.9511850581045923,0,0
ZNF646,497,52,8.94199356137,8.85328653846,1.0100196715108336,0,0
OPA3,497,52,9.01451126761,9.05089423077,0.9959801802743523,0,0
OPA1,497,52,10.248222334,10.6485980769,0.9624010841589827,0,0
RHEB,497,52,10.020901006,10.1705923077,0.9852819484718829,0,0
RAB40C,497,52,9.81454929577,9.43897692308,1.039789521232911,0,0
RAB40B,497,52,8.83175090543,8.73616923077,1.0109409138191507,0,0
RAB40A,497,52,3.58924144869,5.19821346154,0.6904759635688146,0,0
COL7A1,497,52,9.13735231388,9.47998846154,0.9638569024587655,0,0
MDP1,497,52,8.09155573441,7.96583653846,1.0157822967290242,0,0
GTSE1,497,52,5.22896036217,3.30720769231,1.5810801282106333,0,0
FAM183A,497,52,2.93117826962,2.7134,1.0802602895325812,13,0
ARFRP1,497,52,9.72123722334,9.53679230769,1.0193403515245856,0,0
OVCH1,497,52,0.177570221328,0.222261538462,0.7989246477689421,356,35
FAM183B,497,52,0.805849094567,0.456721153846,1.7644225317377222,163,22
PSAP,497,52,14.8843150905,14.9963173077,0.9925313518745303,0,0
KIAA0831,497,52,8.93981750503,9.13398846154,0.9787419310495195,0,0
SPPL2A,497,52,9.12950925553,9.28793269231,0.9829430894879654,0,0
SLC46A1,497,52,10.360139839,9.89380192308,1.047134349321222,0,0
